query_string,candidate_string,match
"Taser International, Inc.",TASER INTERNATIONAL INC,1
"Rockwell Automation, Inc.",ROCKWELL AUTOMATION INC,1
"Calavo Growers, Inc.",CALAVO GROWERS INC,1
"Trailer Bridge, Inc.",TRAILER BRIDGE INC,1
Magellan Health Services,MAGELLAN HEALTH SERVICES INC,1
Arrow Electronics,ARROW ELECTRONICS INC,1
NACCO Industries,NACCO INDUSTRIES INC,1
"Solutia, Inc.",SOLUTIA INC,1
New Century Energies,NEW CENTURY ENERGIES INC,1
"Universal Technical Institute, Inc.",UNIVERSAL TECHNICAL INSTITUTE IN,1
Johnson Controls,JOHNSON CONTROLS INC,1
Newmont Mining Corporation,NEWMONT MINING CORP,1
"Natural Alternatives International, Inc.",NATURAL ALTERNATIVES INTL INC,1
Antero Resources Corporation,ANTERO RESOURCES CORP,1
HUGHES ELECTRONICS PRODUCTS CORP,HUGHES ELECTRONICS CORP,1
Mississippi Chemical Corporation,MISSISSIPPI CHEMICAL CORP,1
Crosstex Energy Services,CROSSTEX ENERGY LP,1
Scientific Technologies Corporation,SCIENTIFIC TECHNOLOGIES INC,0
American Commerical Lines LLC,AMERICAN COMMERCIAL LINES INC,1
Cardtronics,CARDTRONICS INC,1
Aon Corporation,AON CORP,1
"Erickson Air-Crane Co., L.L.C.",ERICKSON AIR CRANE INC,1
Wingstop,WINGSTOP INC,1
Unocal Corporation,UNOCAL CORP,1
General Motors Company,GENERAL MOTORS CORP,1
Eden Bioscience Corporation,EDEN BIOSCIENCE CORP,1
EASTMAN CHEMICAL COMPANY,EASTMAN CHEMICAL CO,1
Alza Corporation,ALZA CORP,1
Union Carbide Corporation,UNION CARBIDE CORP,1
Shire Pharmaceuticals Inc.,SHIRE PHARMACEUTICALS GROUP PLC,1
Celegene Corporation,CELGENE CORP,1
Fortis,FORTIS INC,1
Beacon Power Corporation,BEACON POWER CORP,1
American Eagle Outfitters,AMERICAN EAGLE OUTFITTERS INC NE,1
AMCON Distributing Co),AMCON DISTRIBUTING CO,1
Continental Title Co,CONTINENTAL INFO SYS CORP,0
Incyte Corporation,INCYTE CORP,1
US Bancorp,U S BANCORP DEL,1
"Orbitz, L.L.C.",ORBITZ INC,1
Northshore Interventional Pain Management Ctr.,NORTHWEST AIRLINES CORP,0
The Advisory Board Company,ADVISORY BOARD CO,1
Erickson Air-Crane,ERICKSON AIR CRANE INC,1
"The Mortgage Centre, Inc",MORTGAGE COM INC,0
"Renewable Energy Fuels, LLC",RENEWABLE ENERGY GROUP INC,0
Murphy Oil Corporation,MURPHY OIL CORP,1
Western Precooling Systems,WESTERN PROPERTIES TRUST,0
General Cable,GENERAL CABLE CORP DEL,1
Clean Energy Collective,CLEAN ENERGY FUELS CORP,
American Savings,AMERICAN SAFETY INS HOLDINGS LTD,0
SmithKline Beecham Pharmaceuticals,SMITHKLINE BEECHAM PLC,1
"Spectrum Pharmacy, Inc.",SPECTRUM PHARMACEUTICALS INC,0
Washington Investment Group,WASHINGTON GAS LT CO,0
Kubota Corporation,KUBOTA CORP,1
"Extendicare Health Services, Inc.",EXTENDICARE INC CDA,
Bank of Commerce Mortgage,BANK OF COMMERCE HOLDINGS,0
Health Research Group,HEALTHCARE REALTY TRUST INC,0
Independent Living Resource,INDEPENDENCE REALTY TRUST INC,0
Professional Pilot,PROFESSIONALS GROUP INC,0
Babcock & Wilcox,BABCOCK & WILCOX CO,1
Host Marriott Services Corporation,HOST MARRIOTT CORP,0
Laboratories Inc.,LABORATORY CORP AMERICA HLDGS,0
Federal Molding Company,FEDERAL MOGUL CORP,0
Andre Cornelius,ANDREW CORP,0
Synthetic Biology Project,SYNTHETIC BIOLOGICS INC,0
Viewpoint Financial,VIEWPOINT FINANCIAL GROUP,1
"Tecsec, Inc",TELESPECTRUM WORLDWIDE INC,0
"Chester County Aviation, Inc.",C D C SOFTWARE CORP,0
BorgWarner,BORGWARNER INC,1
"Applied Information Sciences, Inc.",APPLIED INDUSTRIAL TECHS INC,0
Gen-Probe Incorporated,GEN PROBE INC,1
Community Health Law Project,COMMUNITY HEALTH SYS INC,0
"Allevion, Inc.",ALLETE INC,0
"Central Electric, Inc.",CENTRAL EUROPEAN MEDIA ENT LTD,0
Renewable Energy Long Island,RENEWABLE ENERGY GROUP INC,0
Air Canada,AIR CANADA INC,1
DUQUESNE LIGHT CO,DUQUESNE LIGHT HOLDINGS INC,1
