query_string,candidate_string,match
Defense Commissary Agency,Defense Mapping Agency,0
Defense Business Transformation Agency,Defense Special Weapons Agency,0
Federal Management Service,Federal Retirement Thrift Investment Board,0
Defense Finance and Accounting Service,Defense Logistics Agency,0
Defense Security Assistance Agency,Defense Department,0
Defense Field Activities,Defense Special Weapons Agency,0
Administration on Aging,Administrative Office of United States Courts,0
Defense Legal Services Agency,Defense Special Weapons Agency,0
Administration for Children and Families,Administrative Office of United States Courts,0
Financial Management Service,Financial Crimes Enforcement Network,0
Defense Threat Reduction Agency,Defense Acquisition Regulations System,0
