query_string,candidate_string,match
Alliance of Automobile Manufactures,Alliance of Automobile Manufacturers,1
Western RegionalCouncil,Western Regional Council,1
Washington State County Road Administration Board,Washington State Hospital Assn,0
Aircraft Electronics Association,Aircraft Electronics Assn,1
American Electirc Power,American Electric Power,1
State of New Mexico,State of New Jersey,0
Association of Amercian Railroads,Association of American Railroads,1
Regional Transportation Council,Regional Transportation District,0
City of Roseville,"City of Roseville, CA",1
National Fuel Gas Company,National Fuel Gas Corp,1
Community Transportation Association,Community Transportation Assn of Idaho,
Lake Charles Harbor &Terminal District,Lake Charles Harbor & Terminal District,1
National Hardwood Lumber Association,National Hardwood Lumber Assn,0
American Corn Growers Association,American Corn Growers Assn,1
"Owner-Operator Independent Drivers Association, Inc.",Owner-Operator Independent Drivers Assn,1
"Zuckert, Scoutt & Rasenberger, L.L.P.","Zuckert, Scoutt & Rasenberger",0
Brotherhood of Railroad Signalme,Brotherhood of Railroad Signalmen,1
International Group of P & I Clubs,International Group of P&I Clubs,1
Air Line Pilots Assoc.,Air Line Pilots Assn,1
Americans for Safe & Efficient Transportation,Americans for Safe & Efficient Transport,1
American Public Power Assoc.,American Public Power Assn,1
"Jefferson Paris, Louisiana",Jefferson Parish Council,
Nez Perce Tribal Executive Committee,Nez Perce Tribal Executive Cmte,1
WASHINGTON STATE FARM BUR,Washington State Hospital Assn,0
Western Great Lakes Pilots Association,Western Great Lakes Pilots Assn,1
Metropolitan Transit Authority,Metropolitan Transportation Authority,1
Empress Casino Joliet Corporation,Empress Casino Joliet Corp,1
WASHINGTON STATE LABOR COUNCIL,Washington State Hospital Assn,0
Pinnacle West Capitol Corporation,Pinnacle West Capital,1
Construction Materials Association of California,Construction Management Assn of America,0
AUTOMOTIVE RECYLCERS ASSN,Automotive Recyclers Assn,1
Wisconsin Electric Power Company,Wisconsin Electric Power,1
WASHINGTON STATE LABOR COUNCIL UNION AFLCIO,Washington State Hospital Assn,0
United Van Lines,United Pan-Europe Communications,0
"Railway Progress Institute, Inc.",Railway Progress Institute PAC,1
Washington Utilities and Transportation Commission,Washington Soccer Partners,0
Responsible Industry for a Sound Environment,Responsible Industry for a Sound Enviro,1
"Wisconsin Utilities Association, Inc",Wisconsin Counties Assn,1
International Brotherhood of Electrical,International Brotherhood of Electrical Workers,1
JOHN T MATHER MEMORIAL HOSP,John T Mather Memorial Hospital,1
Village of Winfield,"Village of Freeport, NY",0
COLUMBIA ENERGY GROUP SVC CORP,Columbia Energy Group,1
SALT LAKE CITY CORP,"Salt Lake City, UT",1
Central Vermont Public Service,Central Piedmont Community College,0
"National Freightways, Inc.",National Beer Wholesalers Assn,0
"Western Great Lakes Pilots Association, LLP",Western Great Lakes Pilots Assn,1
International Pape,International Paper,1
Midwest Reseach Institute,Midwest Research Institute,1
American Shipbuidling Association,American Shipbuilding Assn,1
"Zuckert, Scoutt, and Rasenberger, L.L.P.","Zuckert, Scoutt & Rasenberger",1
Washington County Chiefs & Officers Association,Washington Office on Africa,0
Franklin County Engineer,Franklin Institute,0
City of Park Falls,"City of Wasilla, AK",0
City of Nevada,"City of Negaunee, MI",0
City of Center,"City of New Richmond, WI",0
Agricultural Retailers Association,Agricultural Retailers Assn,1
High Speed Ground Transportation Association,High Speed Ground Transportation Assn,1
"Collier Shannon Scott, PLLC",Collier Shannon Scott,1
Washington County Department of Transportation & Physical Development,Washington Soccer Partners,0
Lockheed Martin IMS,Lockheed Martin,1
"Commonwealth of Virginia, DOT",Commonwealth Edison,0
"Amadeus Global Travel Distribution, S.A.",Amadeus Global Travel Distribution,1
WASHINGTON U SCHOOL OF MED,"Washington County, OR",0
Chemical Specialties Manufacturers Association,Chemical Specialties Manufacturers Assn,1
American Shipbuilding,American Women in Radio & Television,0
American Public Works Association APWA,American Public Works Assn,1
Transportation Solutions Defense and Education Fund,Transportation Security & Resource Forum,0
Washington State Patrol,Washington State Dept of Transportation,0
Great Western Central Pharmacy,Great Western Cellular Partners,0
"Groundwater Services, Inc.",Groundwater Protection Council,0
Public Service Company of Colorado,Public Service Co of Colorado,1
"Connecticut Road Builders Association, Inc.",Connecticut Road Builders Assn,1
Time Domain Corporation,Time Domain Corp,1
Brotherhood of Railroad,Brotherhood of Railroad Signalmen,
CALIFORNIA FINE WIRE CO,California Poultry Federation,0
National Association of County Engineers,National Assn of Surety Bond Producers,0
"American Truck-Trailer Sales, Inc.",American Trucking Assns,0
