query_string,candidate_string,match
VENTURE CATALYST INC/UT,Venture Catalyst,1
SINCLAIR BROADCAST GP  -CL A,Sinclair Broadcast Group,1
MINERALS TECHNOLOGIES INC,Mineral Technologies,1
FEDERAL HOME LOAN MORTG CORP,Federal Communications Bar Assn,0
SIERRA MONITOR CORP,Sierra Military Health Services,0
ECC INTERNATIONAL CP,Ecc International,1
GENERAL CABLE CORP/DE,General Ore International,0
ACCESS TO MONEY INC,Access Community Health Network,0
LVMH MOET HENNESSY LOUIS V,LVMH Moet Hennessy Louis Vuitton,1
TEXAS PACIFIC LAND TRUST,Texas Pacific Group,0
SCHLUMBERGER LTD,Schlumberger Technology,1
ALABAMA GAS CORP,Alabama State University,0
AMERICAN MEDICAL TECHNOL INC,American Medical Response,0
NACCO INDUSTRIES  -CL A,NACCO Industries,1
TENNESSEE VALLEY AUTHORITY,Tennessee Valley Industrial Cmte,0
CALIFORNIA PIZZA KITCHEN INC,California Nickel Corp,0
READERS DIGEST ASSN INC,Reader's Digest Assn,1
MAXIMUS INC,Maximum Technology,0
PARK CITY GROUP INC,Park Place,0
WESTERN ASST MUNI PTNR FD II,Western Range Assn,0
WESTERN ASSET INTERM MUNI FD,Western Research Institute,0
ELECTRIC & GAS TECHNOLOGY,Electric Drive Transportation Assn,0
CHILDRENS COMPREHENSIVE SVC,Children's Health Fund,0
SILICON GRAPHICS INC,Silicon Graphics Federal,1
TRANSCAT INC,Transatlantic Lines-Iceland EHF,0
HAWAIIAN NATURAL WATER INC,Hawaiian Commercial & Sugar,0
INTEGRATED SILICON SOLUTION,Integrated Building & Constr Solutions,0
UNION PACIFIC CORP,Union Hospital,0
DIVERSIFIED OPPORTYS,Diversified International Sciences,0
INTERCONTINENTAL HOTELS GRP,InterContinental Hotels Group,1
ROCK OF AGES CORP  -CL A,Rock of Ages Corp,1
NEW SKIES SATELLITES HLDGS,New Skies Satellites,1
NORTHERN STATES POWER CO /MN,Northern States Power,1
CHARTER ONE FINANCIAL INC,Charter Schools Development Corp,0
CLAIRES STORES INC,Claire's Stores,1
ALABAMA GAS CORP,Alabama Dept of Transportation,0
PACIFIC NORTHWEST BANCORP,Pacific Northwest Waterways Assn,0
ENVIRONMENTAL ENERGY SERVICE,Environmental Redevelopers Assn,0
HANOVER CAPITAL MTG HOLDINGS,Hanover Capital Partners,1
HONG KONG TELE NETWORK LTD,Hong Kong Trade Development Council,0
ENVIRONMENTAL POWER CORP,Environmental Action Group,0
BRITISH ENERGY GROUP,British Energy,1
SUPERIOR BANCORP,Superior Bank,0
CTC COMMUNICATIONS GROUP INC,CTC Communications,1
ENVIRONMENTAL SAFEGUARDS INC,Environmental Research & Ed Found,0
SPRINT SPECTRUM  - LP,Sprint Spectrum,1
HERBALIFE LTD,Herbalife International,1
ELECTRO RENT CORP,Electro-Radiation Inc,0
TOYOTA MOTOR CREDIT CORP,Toyota Motor Sales USA,1
NORTH AMERICAN SCIENTIFIC,North America's Supercorridor Coalition,0
STORAGE TECHNOLOGY CP,Storage Technology Corp,1
WESTERN ASSET INTERM MUNI FD,Western Ag-Resources,0
ADELPHIA COMMUN  -CL A,Adelphia Communications,1
FLORIDA PROGRESS CORP,Florida Crystals,0
ELECTRO SCIENTIFIC INDS INC,Electro Scientific Industries,1
DILLARDS INC  -CL A,Dillard's Inc,1
LOCKHEED MARTIN CORP,Lockheed Martin NESS,1
CONSOLIDATED GRAPHICS INC,Consolidated N St Charles Cnty Levee,0
CONNECTICUT LIGHT & POWER CO,Connecticut Resources Recovery Authority,0
ELECTRONIC RETAILNG SYS INTL,Electronic Commerce Tax Study Group,0
ADVANCED ENVIR RECYCL  -CL A,Advanced Electronics Co,0
NEW CENTURY ENERGY CORP,New Century Energies,0
WESTERN WATER CO,Western Growers Insurance Services,0
ENVIRONMENTAL POWER CORP,Environmental Land Technology Ltd,0
MCLEODUSA INC  -CL A,McLeodUSA Inc,1
CHILDRENS PLACE INC,Children's Healthcare of Atlanta,0
THOMAS INDUSTRIES INC,Thomas D Campbell & Assoc,0
ST FRANCIS CAPITAL CORP,St Francis Hospital,0
METROMEDIA INTERNATIONAL GRP,Metromedia International Group,1
MOTOROLA SOLUTIONS INC,Motorola Space Systems Technology Group,0
AMERICAN MEDICAL SECURITY GP,American Medical Security,1
ADVANTAGE PAYROLL SVCS -REDH,Advantage Health Plan,0
ALLIANCE DATA SYSTEMS CORP,Alliance for American Innovation,0
SODEXHO MARRIOTT SVCS INC,Sodexho Marriott Services,1
BROADCAST INTERNATIONAL INC,Broadcast Music Inc,0
SECURITY CAPITAL/DE  -CL A,Security Cos Organized for Legis Action,0
GREENE COUNTY BANCORP INC,Greene County Health Care,0
ELECTRONIC TRANSMISSION CORP,Electronic Retailing Assn,0
CAMBRIDGE TECHNOLOGY PARTNER,Cambridge Technologies,0
HOME CITY FINANCIAL CORP,Home School Legal Defense Assn,0
ELECTROCHEMICAL IND (1952),Electronic Commerce Forum,0
FLORIDA EAST COAST INDS,Florida East Coast Industries,1
WEIGHT WATCHERS INTL INC,Weight Watchers International,1
GENERAL CREDIT CORP,General Reinsurance,0
COMMUNITY BANKS INC,Community Assns Institute,0
PUBLIC SERVICE ENTRP GRP INC,Public Service Electric & Gas,0
MONTGOMERY FINANCIAL CORP,Montgomery Division of Transportation,0
