query_string,candidate_string,match
FOREST CITY ENTERPRISE INC,FOREST CITY ENTERPRISES INC,1
"INTERNATIONAL COAL GROUP, LLC",INTERNATIONAL COAL GROUP INC,
IOMED Inc,IOMED INC,1
NOW Inc,NOW INC,1
"MICRON Technology, Inc",MICRON TECHNOLOGY INC,1
VENTANA MEDICAL SYSTEMS INC.,VENTANA MEDICAL SYSTEMS INC,1
"MAXIMUS, Inc",MAXIMUS INC,1
"Station Casinos, Inc",STATION CASINOS INC,1
"ASPECT MEDICAL SYSTEMS, INC.",ASPECT MEDICAL SYSTEMS INC,1
CYTEC INDUSTRIES INC.,CYTEC INDUSTRIES INC,1
CONSOL Energy Inc,CONSOL ENERGY INC,1
LIFE TECHNOLOGIES INC,LIFE TECHNOLOGIES CORP,1
HUGHES Telematics Inc.,HUGHES TELEMATICS INC,1
ATMOS Energy Corp.,ATMOS ENERGY CORP,1
REGENXBIO Inc.,REGENXBIO INC,1
BIOAMBER INC.,BIOAMBER INC,1
Chesapeake Urology Associates,CHESAPEAKE UTILITIES CORP,0
"IMPCO Technologies, Inc.",IMPCO TECHNOLOGIES INC,1
"CONSOL Energy, Inc.",CONSOL ENERGY INC,1
"DexCom, Inc.",DEXCOM INC,1
"Professional Mortgage Centers, Inc.",PROFESSIONAL DETAILING INC,0
MEDNAX Inc.,MEDNAX INC,1
"TYSON FOODS, INC",TYSON FOODS INC,1
"OLD DOMINION FREIGHT LINE, INC.",OLD DOMINION FREIGHT LINE INC,1
"Professional Mortgage Services, Inc.",PROFESSIONAL DETAILING INC,0
"Horizon Lines, Inc.",HORIZON LINES INC,1
OLD DOMINION FREIGHT LINES,OLD DOMINION FREIGHT LINE INC,1
"GEVO, Inc.",GEVO INC,1
Ligand Pharmaceuticals Inc.,LIGAND PHARMACEUTICALS INC,1
"SANDERSON FARMS, INC",SANDERSON FARMS INC,1
Avista Corp,AVISTA CORP,1
Federal Home Loan Mortgage Corporation,FEDERAL HOME LOAN MORTGAGE CORP,1
"United Mortgage Associates, Inc.",UNITED WATER RESOURCES INC,0
"OMNOVA Solutions, Inc.",OMNOVA SOLUTIONS INC,1
California Bowhunters Archers,CALIFORNIA MICRO DEVICES CORP,0
COORSTEK INC.,COORSTEK INC,1
"PETSMART, Inc",PETSMART INC,1
Standard Pacific Mortgage,STANDARD PACIFIC CORP,
SIGNAL TECHNOLOGIES,SIGNAL TECHNOLOGY CORP,
"Regeneration Technologies, Inc.",REGENERATION TECHNOLOGIES INC,1
VICOR Corporation,VICOR CORPORATION,1
"Biogen Idec, Inc.",BIOGEN IDEC INC,1
Independent Bankers of Colorado,INDEPENDENT BANK CORP MICH,0
"TEAM, Inc.",TEAM INC,1
"Moyco Technologies, Inc.",MOYCO TECHNOLOGIES INC,1
ANHEUSER BUSCH CO INC,ANHEUSER BUSCH COS INC,1
"MAXIMUS, Inc.",MAXIMUS INC,1
PILGRIMS PRIDE CORP.,PILGRIMS PRIDE CORP,1
Invesco Ltd.,INVESCO LTD,1
OMNOVA Solutions Inc.,OMNOVA SOLUTIONS INC,1
"Avnet, Inc.",AVNET INC,1
People Concerned About MIC,PEOPLES FINANCIAL CORP,0
Black Mountain Herbals,BLACKROCK MUN 2018 TERM TR,0
"CACI International, Inc",CACI INTERNATIONAL INC,1
SANDERSON FARMS INC.,SANDERSON FARMS INC,1
"Advanced Drainage Systems, Inc.",ADVANCED DRAINAGE SYSTEMS INC,1
"PACCAR, Inc.",PACCAR INC,1
Marine Drilling Companies,MARINE DRILLING COS INC,1
HUGHES ELECTRONICS PRODUCTS CORP,HUGHES ELECTRONICS CORP,1
"Key Energy Services, Inc.",KEY ENERGY SERVICES INC,1
"SCYNEXIS, Inc.",SCYNEXIS INC,1
"ArQule, Inc.",ARQULE INC,1
"Genomic Health, Inc.",GENOMIC HEALTH INC,1
"Arch Coal, Inc.",ARCH COAL INC,1
Harvard Manufacturing,HARVARD INDUSTRIES INC,
