query_string,candidate_string,match
ARCHER DANIELS MIDLAND CO,ARCHER DANIELS MIDLAND CO,1
DIAMOND OFFSHORE DRILLING INC,DIAMOND OFFSHORE DRILLING INC,1
Move Inc,MOVE INC,1
British Airways Plc,BRITISH AIRWAYS PLC,1
AmerisourceBergen Corp,AMERISOURCEBERGEN CORP,1
Medtronic Inc,MEDTRONIC INC,1
"CarMax, Inc.",CARMAX INC,1
Patriot Coal Corp,PATRIOT COAL CORP,1
Exide Technologies,EXIDE TECHNOLOGIES,1
Everyday Health Inc.,EVERYDAY HEALTH INC,1
PACCAR Inc.,PACCAR INC,1
WellPoint Inc.,WELLPOINT INC,1
Ormat Technologies Inc.,ORMAT TECHNOLOGIES INC,1
Halliburton Company,HALLIBURTON COMPANY,1
Avista Corp.,AVISTA CORP,1
"Urologix, Inc.",UROLOGIX INC,1
Converted Organics Inc.,CONVERTED ORGANICS INC,1
Journal Register Co.,JOURNAL REGISTER CO,1
Goodyear Tire & Rubber Co.,GOODYEAR TIRE & RUBBER CO,1
"Williams Controls, Inc.",WILLIAMS CONTROLS INC,1
"OMNOVA Solutions, Inc.",OMNOVA SOLUTIONS INC,1
"Motorola Solutions, Inc.",MOTOROLA SOLUTIONS INC,1
Eaton Corp.,EATON CORP,1
"Sanderson Farms, Inc",SANDERSON FARMS INC,1
Honeywell International Inc.,HONEYWELL INTERNATIONAL INC,1
ION Geophysical Corp.,ION GEOPHYSICAL CORP,1
"United Parcel Service, Inc.",UNITED PARCEL SERVICE INC,1
"MidSouth Bancorp, Inc.",MIDSOUTH BANCORP INC,1
"Greatbatch, Inc.",GREATBATCH INC,1
"Commerce Bancshares, Inc",COMMERCE BANCSHARES INC,1
"Myriad Genetics, Inc.",MYRIAD GENETICS INC,1
Crusader Energy Group Inc.,CRUSADER ENERGY GROUP INC,1
Cytec Industries Inc.,CYTEC INDUSTRIES INC,1
American Commercial Lines Inc.,AMERICAN COMMERCIAL LINES INC,1
"Fresh Foods, Inc.",FRESH FOODS INC,1
Edison International,EDISON INTERNATIONAL,1
"Greenbrier Companies, Inc.",GREENBRIER COMPANIES INC,1
"Midsouth Bancorp, Inc.",MIDSOUTH BANCORP INC,1
