query_string,candidate_string,match
BALTIMORE GAS AND ELEC,BALTIMORE GAS & ELECTRIC CO,1
ALBERTSONS INC,ALBERTSON'S INC,1
PERFORMANCE FOOD GP,PERFORMANCE FOOD GROUP CO,1
NORTHWESTERN MUTUAL LIFE,NORTHWESTERN MUTUAL LIFE INS,1
Montgomery County Emergency Operations Center,MONTGOMERY FINANCIAL CORP,0
Pioneer Natural Resources USA Inc.,PIONEER NATURAL RESOURCES CO,1
OGE Energy Corporation,OGE ENERGY CORP,1
WISCONSIN CENTRAL LTD A RAILROAD,WISCONSIN CENTRAL TRANSPORTN,1
Central Vermont Public Service,CENTRAL VERMONT PUB SERV,1
Bergen Brunswig Corporation,BERGEN BRUNSWIG CORP  -CL A,1
RIVER VALLEY LANDSCAPES INC,RIVER VALLEY BANCORP,0
SEABOARD PRODUCTS CO,SEABOARD CORP,0
ANHEUSER BUSCH INC,ANHEUSER-BUSCH COS INC,1
Rocky Mountain Remediation Services,ROCKY MOUNTAIN CHOC FACT INC,0
ROCKY MOUNTAIN MOVING AND STORAGE INC,ROCKY MOUNTAIN MINERALS INC,0
EVERGREEN MILLS INC,EVERGREEN SOLAR INC,0
PIONEER CHEMICAL,PIONEER COMMERCIAL FUNDING,0
Maverick Tube Corporation,MAVERICK TUBE CORP,1
ANHEUSER BUSH INC,ANHEUSER-BUSCH COS INC,1
MCGRATH AND ASSOCIATES INC,MCGRATH RENTCORP,0
HARTFORD DISTRIBUTORS INC,HARTFORD INCOME SHARES FD,0
PENNSYLVANIA BUILDERS ASSN,PENNSYLVANIA POWER CO,0
Mississippi,MISSISSIPPI CHEMICAL CORP,0
Colorado Interstate Gas Company,COLORADO INTERSTATE GAS CO,1
"Community Boating, Inc.",COMMUNITY BANCORP/NJ,0
INDEPENDENT INS AGENTS OF KENTUCKY INC,INDEPENDENCE CMNTY BK CORP,0
Transport Canada Safety,TRANSPORT CORP AMERICA INC,0
ATLAS FORKLIFT RENTALS INC,ATLAS MINERALS INC,0
SECURITY CO ORGANIZED FOR LEGISLATIVE ACTION,SECURITY PA FINANCIAL CORP,0
Environmental Protection,ENVIRONMENTAL POWER CORP,0
"Evergreen Industries, Inc.",EVERGREEN ENERGY INC,0
GREAT LAKES PACKAGING CORP,GREAT LAKES CHEMICAL CORP,0
MARKETPLACE,MARKET CONCEPTS INTL,0
"California Cartage Company, Inc",CALIFORNIA BEACH RESTAURANT,0
"Kerr-McGee Chemical, LLC",KERR-MCGEE CORP,1
PHOENIX PRODUCTS INC,PHOENIX COMPANIES INC,0
EASTMAN CHEM,EASTMAN CHEMICAL CO,1
HERITAGE VLY HEALTH SYSTEM,HERITAGE FINANCIAL CORP,0
Rochester Gas and Electric Corporation,ROCHESTER GAS & ELECTRC CORP,1
GLOBAL ENVIRON HEALTH AND SAFETY,GLOBAL ELECTION SYSTEMS INC,0
MICHIGAN BOX CO,MICHIGAN RIVET CORP,0
Akzo Nobel Coatings,AKZO NOBEL NV,1
CALIFORNIA LABOR FEDN,CALIFORNIA SOFTWARE CORP,0
"Hornbeck Offshore Services, Inc.",HORNBECK OFFSHORE SVCS INC,1
INDEPENDENT INS AGENTS OF PENNSYLVANIA,INDEPENDENCE CMNTY BK CORP,0
BORGWARNER AUTOMOTIVE,BORGWARNER INC,1
ANHEUSER BUSCH LEGLSLATIVE ISSUES NETWORK,ANHEUSER-BUSCH COS INC,1
Environmental Technology Council,ENVIRONMENTAL POWER CORP,0
GOLDEN EAGLE DISTRIBUTORS INC,GOLDEN EAGLE INTL INC,0
METAL SURFACES INC,METALS USA INC,0
BENCHMARK INS CO,BENCHMARK ELECTRONICS INC,0
PEPSI BOTTLING GP,PEPSI BOTTLING GROUP INC,1
Golden Hawk Transportation,GOLDEN BOOKS FAMILY ENTMT,0
PIONEER CHEM CO,PIONEER CORP,0
"Edison Company of New York, Inc.",EDISON CONTROL CORP,
"Industry, Inc.",INDUSTRIAL RUBBER PRODS INC,0
Advanced Notice of Proposed Rulemaking for MTBE,ADVANCED PHOTONIX INC  -CL A,0
MONTGOMERY COUNTY DEPT OF RISK MGMT,MONTGOMERY FINANCIAL CORP,0
SOUTHWESTERN IND CONTRACTORS AND RIGGERS INC,SOUTHWESTERN PUBLIC SVC CO,0
PACIFIC MARITIME ASSN HEADQUARTERS,PACIFIC MERCANTILE BANCORP,0
GOLDEN EAGLE DISTRIBUTING CO INC,GOLDEN EAGLE INTL INC,0
Waste Management Division,WASTE MANAGEMENT INC,0
WESTERN RESOURCES INC,WESTERN ASSET INCOME FUND,0
Montgomery County United Way,MONTGOMERY FINANCIAL CORP,0
"Global Environmental, Ltd.",GLOBAL ELECTION SYSTEMS INC,0
Manufacturers Agency Inc.,MANUFACTURERS SERVICES LTD,0
General Aircraft Engines,GENERAL MOTORS FINL CO INC,0
BAYOU STEEL CORP,BAYOU STEEL CORP  -CL A,1
Columbia Energy Group Service Corporation,COLUMBIA ENERGY GROUP,1
Robert Bosch Corporation,ROBERT HALF INTL INC,0
Florida Foresty Association,FLORIDA EAST COAST INDS,0
International Wire Group Inc.,INTERNATIONAL WIRE GRP HLDGS,0
THREE RIVERS HELATH AND SAFETY INC,THREE RIVERS BANCORP INC,0
TRANSLIFT INC,TRANSNET CORP,0
Packaging Corporation of America,PACKAGING CORP OF AMERICA,1
