query_string,candidate_string,match
Midwest Energy Cooperative,MIDWEST EXPRESS HOLDINGS INC,1
"Atwood Oceanics, Inc.",ATWOOD OCEANICS INC,1
AMERICAN WATER WORKS ASSOCIATION,AMERICAN WATER WORKS CO INC,1
EXTENDI CARE INC,EXTENDICARE INC CDA,1
WellPoint Inc.,WELLPOINT INC,1
Wildlife Trust of Bangladesh,WARWICK VALLEY TELEPHONE CO,0
Goodwill Industries Int'l,GOODMAN GLOBAL INC,0
"Air Methods, Inc.",AIR METHODS CORP,1
Complient Corporation,COMPASS MINERALS INTL INC,0
LyondellBasell Industries,LYONDELLBASELL INDUSTRIES N V,1
Education Voters of America,EDUCATION LENDING GROUP INC,0
PROFESSIONAL WORK CARE,PROFESSIONAL BANCORP,0
"Western Center on Law and Poverty, Inc.",WESTERN ASSET EMER MKT INC FD IN,0
Professional Translations (German,PROFESSIONAL STAFF PLC,0
Medical Oncology Association of Southern California,MEDIA SCIENCES INTERNATIONAL INC,0
Stella-Jones Corporation,STEINER LEISURE LTD,0
"American Bus and Accessories, inc.",AMERICAN BUSINESS FINL SRVCS INC,0
"Starker Forests, Inc.",STANDARD FINANCIAL CORP MD,0
Independent Realtors Inc.,INDEPENDENT COMMUNITY BNKSHRS IN,0
"Homestead Village, Inc.",HOMESTEAD VILLAGE INC,1
Hudson Valley Municipal Leaders,HUDSON VALLEY HOLDING CORP,
California Forestry Assoc.,CALIFORNIA RESOURCES CORP,0
Triangle Lake Residents,TRIANGLE BANCORP INC,0
first management services,FIRST OAK BROOK BANCSHARES INC,0
"Health Management Associates, Inc.",HEALTH MANAGEMENT ASSOCIATES INC,1
BUCKEYE TECHNOLOGIES,BUCKEYE TECHNOLOGIES INC,1
William S. Lyons A.I.A. Architect,WILLIAMS INDUSTRIES INC,0
Hyster Yale Materials Handling,HYSTER YALE MATERIALS HANDLG INC,1
COASTAL LUMBER CO,COASTAL BANCORP INC,0
Western Sugar COOP,WESTERN SIERRA BANCORP,0
"Philip Morris USA, Inc.",PHILIP MORRIS COS INC,1
Stephanie A,STEPHAN CO,0
Flexion Therapeutics,FLEXION THERAPEUTICS INC,1
Environmental Resources,ENVIRONMENTAL POWER CORP,0
UNITED REFINING CO,UNITED BANCORP INC OH,0
Citizenship and Immigration Services,CITIZENS REPUBLIC BANCORP INC,0
Goodwill Easter Seals,GOODYEAR TIRE & RUBBER CO,0
"Diplomate,",WIPRO LTD,0
Verso Paper Corp.,VERSO PAPER CORP,1
Texas Veterinary Technician,TEXAS BIOTECHNOLOGY CORP,0
American Alliance Mortgage Company,AMERICAN AIRLINES GROUP INC,0
"Superior Supply Company, Inc.",SUPERCONDUCTOR TECHNOLOGIES INC,0
HONEYWELL INTL INC,HONEYWELL INTERNATIONAL INC,1
HealthPlan Services,HEALTHPLAN SERVICES CORP,0
Summit Marine Inc.,SUMMIT MATERIALS INC,0
Washington Hospital Healthcare System,WASHINGTON PRIME GROUP INC NEW,0
Pharmaceutical Care Mgmt Assn,PHARMACEUTICAL HOLDRS TRUST,0
Eldorado Hotel Casino,ELDORADO GOLD CORP NEW,0
Gulfstream International Airlines,GULFSTREAM INTERNATIONAL GRP INC,0
PAREXEL International,PAREXEL INTERNATIONAL CORP,1
Parker Enterprise.,PURE STORAGE INC,0
Philadelphia Housing Authority,PHILADELPHIA SUBURBAN CORP,0
California Wool Growers Association,CALIFORNIA INDEPENDENT BANCORP,0
SunRun Inc.,SUNRUN INC,1
Inter-Industry Analytical Group,INTERNET INFRASTRUCTURE HLDRS TR,0
Maverick Logistics,MAVERICK TUBE CORP,0
Global Lift Corporation (Represented,GLOBAL LOGISTICS ACQUISITION COR,0
Washington County Adult and Commu,WASHINGTON PRIME GROUP INC NEW,0
Mineral & Energy of Virginia,MANAGEMENT NETWORK GROUP INC,0
Superior Insurance Solutions,SUPERIOR INDUSTRIES INTL INC,0
"West Pak Avocado, Inc.",WESTINGHOUSE SOLAR INC,0
Southeast Stormwater Association,SOUTH STREET FINANCIAL CORP,0
Eastman Chemical Company,EASTMAN CHEMICAL CO,1
"Superior Oil Company, Inc",SUPERIOR TELECOM INC,0
Environmental Work Group,ENVIRONMENTAL POWER CORP,0
Ocwen Financial Corporation,OCWEN FINANCIAL CORP,1
Aarrow-Ranch Aviation,ALASKA AIRGROUP INC,0
Fieldbrook Foods,FIDELITY BANCORP INC,0
"California Electronic Asset Recovery, Inc.",CALIFORNIA WATER SERVICE GROUP,0
Montgomery Recovery Services,MONTEREY GOURMET FOODS INC,0
Citizen of the U.S.A.,CITIZENS HOLDING CO,0
SPSS Inc.,SPSS INC,1
Eaton VOARD Technologies,EATON VANCE PENN MUN INC TR,0
Golden State Reload,GOLDEN STATE VINTNERS INC,0
Palmetto Bancshares Inc,PALMETTO BANCSHARES INC,1
Children's of Alabama,CHALLENGER ENERGY CORP,0
Southeast Kansas Mental Health Center,SOUTHERN SECURITY LIFE INS CO,0
"Noven Pharmaceuticals, Inc.",NOVEN PHARMACEUTICALS INC,1
Western Sugar Cooperative,WESTERN SIZZLIN CORP,0
Working Poor Families Project,WORKSAFE INDUSTRIES INC,0
Superior Ag Resources,SUPERIOR FINANCIAL CORP,0
"PrivateBancorp, Inc.",PRIVATEBANCORP INC,1
Teck Cominco Limited,TECK COMINCO LTD,1
united nations for animals,U S A BIOMASS CORP,0
Kraynak's Inc.,MAVESA S A,0
River Rock Farm,RIVER CITY BANK,0
Transcript of Public Meeting,TRISTATE CAPITAL HOLDINGS INC,0
Educational Therapist,EDUCATIONAL INSIGHTS INC,0
Vt Housing Conservation Board,UNITED STATES HEATING OIL FD L P,0
Transportation Manager,TRITON P C S HOLDINGS INC,0
"Susquehanna Township EMS, Inc.",SALEM MEDIA GROUP INC,0
Borland Software Corporation,BORLAND SOFTWARE CORP,1
"Southeastern Livestock Network, LLC",SOUTHERN SECURITY LIFE INS CO,0
Sonoma County Water Agency,SONOMA PHARMACEUTICALS INC,0
Kemper Construction Company,KEMPER STRATEGIC INCOME TRUST,0
Southgate Timber Company,SOUND FINANCIAL BANCORP INC,0
Technical Resource Service,TECHNICAL COMMUNICATIONS CORP,0
Professional Translations,PROFESSIONAL STAFF PLC,0
Renewable Energy Group REG,RENEWABLE ENERGY GROUP INC,1
WASHINGTON CO. PUBLIC SCHOOLS,WASHINGTON PRIME GROUP INC NEW,0
"Environmental and Energy, VIAD Corporation",ENVIRONMENTAL TECHNOLOGIES CORP,0
Concorde career College,CONCORDE CAREER COLLEGES INC,1
House or Representatives,HOUSE OF TAYLOR JEWELRY INC,0
"First Financial Bankshares, Inc",FIRST FINANCIAL BANKSHARES INC,1
Pinnacle Senior Care,PINNACLE WEST CAPITAL CORP,0
"The Westar Energy, Inc.",WESTERN LIBERTY BANCORP,0
Teya Technololgies,TEXAS BIOTECHNOLOGY CORP,0
"Cooper Industries, Inc.",COOPER INDUSTRIES PLC,1
Businsess Air Inc.,BANCO MACRO S A,0
HARRIS GRAIN INC,HARRIS FINANICAL INC,0
Texas Bank and Trust,TEXAS UNITED BANCSHARES INC,0
Northwest Immigrant Rights Project,NORTHWEST BANCORP INC PA,0
Newport Business Institute,NEWPORT BANCORP INC,0
global information network,GLOBAL INDUSTRIES LTD,0
Health Informatics,HEALTHRITE INC,0
Korean Register of Shipping,KOREA THRUNET CO LTD,0
