query_string,candidate_string,match
Alliance of Automobile Manufacturers,Alliant Techsystems,0
Advanced Medical Technology Association,Advanced Micro Devices,0
Associated General Contractors of America,Associates First Capital,0
Service Employees International Union,Service Merchandise,0
Illinois Environmental Protection Agency,Illinois Tool Works,0
Paralyzed Veterans of America,Harbinger Group Inc.,0
Pacific Gas and Electric Company,Pacific Telesis Group,0
Electronic Privacy Information Center,Electronic Data Systems,0
Transport Canada,Transocean Ltd,0
New York Farm Bureau,New York Times,0
Alaska Airlines,Alaska Air Group,1
Columbia University,Columbia Energy Group,0
Texas Chemical Council,Texas Instruments,0
Southern California Edison,Southern Pacific Rail,0
Illinois Corn Growers Association,Illinois Tool Works,0
Western Business Roundtable,Western Gas Resources,0
Kansas Livestock Association,Kansas City Southern,0
"Plains Cotton Growers, Inc.",Plains Resources,0
Alliance to Save Energy,Alliant Energy Corp,0
University of Nebraska,Universal,0
Health,Health Net,0
"Southern Company Services, Inc.",Southern Pacific Rail,0
First Focus,First Solar Inc,0
Southern California Association of Governments,Southern Pacific Rail,0
University of Texas at Austin,Universal,0
Washington,Washington Mutual,0
Delta TechOps,Delta Air Lines,0
University of Texas,Universal,0
Kansas Cooperative Council,Kansas City Southern,0
Alliance for Natural Health USA,Alliant Energy Corp,0
Public Employees for Environmental Responsibility,Public Service Enterprise Group,0
First National Bank,First Data,0
First State Bank,First American Financial,0
Northwest Mining Association,Northwest Airlines,0
University of Memphis,Universal,0
Illinois Fertilizer & Chemical Association,Illinois Tool Works,0
McDermott Will & Emery,McDermott Int'l Inc,0
Federal Express,Federal-Mogul,0
Alliance for Regenerative Medicine,Alliant Energy Corp,0
Western United Dairymen,Western & Southern Financial Group,0
University of Massachusetts,Universal,0
Alliance for the Great Lakes,Alliance Data Systems,0
Columbia River Inter-Tribal Fish Commission,Columbia/HCA Healthcare,0
Global Healthy Living Foundation,Global Payments,0
Continua Health Alliance,Continental Airlines,0
Massachusetts Hospital Association,Massachusetts Mutual Life Insurance,0
General Counsel,General Mills,0
Forest Resources Association,Forest Laboratories,0
"Alliance of Automobile Manufacturers, Inc.",Alliant Techsystems,0
Louisiana Environmental Action Network,Louisiana-Pacific,0
New York State Education Department,New York Times,0
University of Texas Medical Branch,Universal,0
University of Nebraska Medical Center,Universal,0
Georgia Mining Association,Georgia-Pacific,0
Eastman Credit Union,Eastman Chemical,0
MasterCard Worldwide,MasterCard,1
Columbia Law School,Columbia Pipeline Group Inc.,0
Florida Department of Health,Florida Progress,0
Western IPM Center,Western & Southern Financial Group,0
Texas Citrus Mutual,Texas Instruments,0
ORC Worldwide,YRC Worldwide,0
Northwest Public Power Association,Northwest Airlines,0
North Dakota Farm Bureau,North Fork Bancorp. Inc.,0
