query_string,candidate_string,match
NACCO INDUSTRIES  -CL A,NACCO Industries,1
ALEXANDER'S INC,Alexander & Baldwin,0
READERS DIGEST ASSN INC,Reader's Digest Assn,1
NORTH AMERICAN SCIENTIFIC,North America's Supercorridor Coalition,0
FRESENIUS MEDICAL CARE AG&CO,Fresenius Medical Care,1
RIO TINTO GROUP (AUS),Rio Tinto Group,1
PNC FINANCIAL SVCS GROUP INC,PNC Financial Services,1
PUBLIC SERVICE ENTRP GRP INC,Public Service Enterprise Group,1
ELECTROCHEMICAL IND (1952),Electronic Warfare Assoc,0
INTERPUBLIC GROUP OF COS,Interpublic Group,1
NEW YORK TIMES CO  -CL A,New York Board of Trade,0
WEIGHT WATCHERS INTL INC,Weight Watchers,1
NESTLE SA/AG,Nestle SA,1
NU SKIN ENTERPRISES  -CL A,Nu Skin Enterprises,1
MONTGOMERY FINANCIAL CORP,"Montgomery County, MD",0
HAWAIIAN ELECTRIC INDS,Hawaiian Electric Industries,1
CALIFORNIA SOFTWARE CORP,California State University,0
AMERICAN MEDICAL ALERT CORP,American Medical Assn,0
SEQUA CORP  -CL A,Sequa Corp,1
ROCHE HOLDING AG,Roche Holdings,1
