query_string,candidate_string,match
"All Nippon Airways Co., Ltd",All Nippon Airways,1
Kansas Hospital Association,Kansas Hospital Assn,1
Coalition to Preserve Access to Cancer Diagnostic Services,Coalition to Preserve Access to Cancer Diag Servs,1
Oregon Association of Nurseries,Oregon Assn of Nurseries,1
"SUPERVALU, INC.",SuperValu Inc,1
Denver Museum of Nature and Science,Denver Museum of Nature & Science,1
"Perma-Fix Environmental Services, Inc",Perma-Fix Environmental Services,1
Delaware River and Bay Authority,Delaware River & Bay Authority,1
Tri-County Metropolitan Transportation District of Oregon,Tri-County Metro Transportation District of Oregon,1
"Massachusetts Heavy Industries, Inc.",Massachusetts Heavy Industries,1
Alliance of Marine Mammal Parks & Aquariums,Alliance of Marine Mammal Parks & Aqrms,1
Oklahoma Independent Petroleum Association,Oklahoma Independent Petroleum Assn,1
National Association of the Remodeling Industry,Natl Assn of the Remodeling Industry,1
City of DeKalb,"City of Dekalb, IL",1
National Indian Impacted Schools Association,National Indian Impacted Schools Assn,1
American Association of Radon Scientists and Technologists,American Assn of Radon Scientists & Technologists,1
Juvenile Products Manufacturers Association,Juvenile Products Manufacturers Assn,1
South Coast Air Quality Management,South Coast Air Quality Management Dist,1
Nacco Industries Inc.,NACCO Industries,1
Allscripts LLC,Allscripts Inc,1
Utah Valley Unversity,Utah Valley University,1
"Renewable Energy Group, Inc.",Renewable Energy Group,1
National Ready Mixed Concrete Association,National Ready Mixed Concrete Assn,1
Emission Controls Technology Association,Emissions Control Technology Assn,1
"Syngenta Crop Protection, Inc.",Syngenta Crop Protection,1
"World Vision, Inc.",World Vision,1
"Production Products, Inc.",Production Products,1
Mylan Pharmaceuticals Inc.,Mylan Pharmaceuticals,1
Gary and Mary West Health Institute,Gary & Mary West Health Institute,1
National Association of Development Companies,National Assn of Development Companies,1
"Momenta Pharmaceuticals, Inc.",Momenta Pharmaceuticals,1
Lutheran Immigration and Refugee Service,Lutheran Immigration & Refugee Service,1
Reusable Industrail Packaging Assoiation,Reusable Industrial Packaging Assn,1
American Trucking Associations,American Trucking Assns,1
Asthma and Allergy Foundation of America,Asthma & Allergy Foundation of America,1
"Buckeye Technologies, Inc.",Buckeye Technologies,1
BrickStreet Mutual Insurance Company,Brickstreet Mutual Insurance,1
Yukon Delta Fisheries Development Association,Yukon Delta Fisheries Development Assn,1
NATL PARTNERSHIP FOR WOMEN FAMILIES,National Partnership for Women & Families,1
Wellpinit School District #49,Wellpinit School District 49,1
"Continental Teves, Inc",Continental Teves,1
HIV Medicine Asosciation,HIV Medicine Assn,1
"Public Affairs Resources, Inc.",Public Affairs Resources,1
National Parks Conservation Association,National Parks Conservation Assn,1
Association of Independent Research Institutes,Assn of Independent Research Institutes,1
Congoleum Corporation,Congoleum Corp,1
mississippi poultry association,Mississippi Poultry Assn,1
Arthur Schuman Inc.,Arthur Schuman,1
Independent Bakers Association,Independent Bakers Assn,1
Managed Funds Association,Managed Funds Assn,1
Women and Infants' Hospital,Women & Infants Hospital,1
"Youth Advocate Programs, Inc.",Youth Advocate Programs,1
Association of Village Council Presidents,Assn of Village Council Presidents,1
Fishing Vessel Owners Association,Fishing Vessel Owners Assn,1
Tennessee Public Transportation Association,Tennessee Public Transportation Assn,1
National Renal Administrators Association,National Renal Administrators Assn,1
Alter Trading Corporation,Alter Trading Corp,1
KAMAN AEROSPACE CORP,Kaman Aerospace,1
"JB Hunt Transport, Inc.",JB Hunt Transport,1
"City of Jacksonville, Florida","City of Jacksonville, FL",1
"Bank of America, N.A.",Bank of America,1
Lear Siegler Svcs.,Lear Siegler Services,1
North Carolina Cotton Producers Association,North Carolina Cotton Producers Assn,1
Pheasants Forever.,Pheasants Forever,1
Policy and Taxation Group,Policy & Taxation Group,1
International Carbon Black Association,International Carbon Black Assn,1
National Wildlife Fedration,National Wildlife Federation,1
Nature Consevancy,Nature Conservancy,1
Forest Service Employees for Environmental Ethics,Forest Service Employees for Env Ethics,1
Alaska Housing Finance Corporation,Alaska Housing Finance Corp,1
HILTON HOTELS CORP,Hilton Hotels,1
"Seagate Technology, LLC",Seagate Technology,1
International Safety Equipment Association,International Safety Equipment Assn,1
Norton Sound Economic Development Corporation,Norton Sound Economic Dev Corp,1
American Seniors Housing Association,American Seniors Housing Assn,1
"RTI International Metals, Inc.",RTI International Metals,1
Multi-housing Laundry Association,Multi-housing Laundry Assn,1
Consumer Technology Association,Consumer Technology Assn,1
"FLIR Systems, Inc.",FLIR Systems,1
Can Manufacturers Institute Inc.,Can Manufacturers Coalition,1
American Medical Women's Association,American Medical Women's Assn,1
"Energizer Battery Manufacturing, Inc.",Energizer Battery Manufacturing,1
American School Counselor Association,American School Counselor Assn,1
"Boehringer Ingelheim, Ltd.",Boehringer Ingelheim Corp,1
Off-Road Business Association,Off-Road Business Assn,1
Maryland Community Health System_CHIP,Maryland Community Health System,1
"Rolls-Royce North America, Inc.",Rolls-Royce North America,1
The International Code Council,International Code Council,1
"TYRX, Inc.",TYRX Inc,1
