query_string,candidate_string,match
Collins & Aikman Floorcoverings,Collins & Aikman Floor Coverings,1
"Galileo International, L.L.C.",Galileo International Inc,1
United States Department of Interior,United States Exploration Inc.,0
Public Service Company of Colorado,Public Service Company of New Hampshire,0
"Life Science Products, Inc.",Life Sciences Research Inc,0
"Equistar Chemicals, L.P.",Equistar Chemicals LP,1
Maine Yankee Atomic Power Company,Maine Yankee Atomic Power Corp,1
Southwest Gas Corporation,Southwest Gas Holdings Inc,1
Independent Petroleum Association of America,Independence Community Bank Corp.,0
"E. I. du Pont de Nemours and Company, Inc.",E. I. du Pont de Nemours and Co,1
Packaging Corporation of America,Packaging Corp Of America,1
Island Picnics,Occupational Health & Rehabilitation Inc,0
SED International,SED International Holdings Inc,1
COLUMBIA ENERGY GROUP SVC CORP,Columbia Energy Group,1
California Northern Railroad Company,California Style Palms Inc,0
American Short Line,American Outdoor Brands Corporation,0
Commonwealth Edison Company,Commonwealth Energy System,0
American Electirc Power,America Service Group Inc,0
Granite Construction Company,Granite Construction Inc.,1
"Frontier Airlines, Inc.",Frontier Airlines Holdings Inc,1
Wisconsin Electric Power Company,Wisconsin Electric Power Co,1
United Van Lines,United Pan-Europe Communications NV,0
Lockheed Martin Corporation,Lockheed Martin Corp,1
"Republic Services of Southern Nevada, Inc",Republic Services Inc.,1
"United Air Lines, Inc.",United Airlines Inc,1
Industrial Medicine Associates,Industrial Services of America Inc,0
Canadian National/Illinois Central,Canadian Satellite Communications,0
Washington Trucking Associations,Washington Mutual Inc,0
National Fire Protection Association,National R.V. Holdings Inc.,0
"Republic Services of Southern Nevada, Inc (RSS",Republic Services Inc.,1
Empire District Electric Company,Empire District Electric Co.,1
"Japan Airlines Company, LTD.",Japan Airlines Co Ltd,1
Franklin County Engineer,Franklin Mining Inc,0
International Wire Group Inc.,International Wire Group Holdings Inc,1
Washington Metropolitan Transit Authority,Washington Mutual Inc,0
Public Service Electric and Gas Company,Public Service Electric & Gas Co,1
American President Lines,America Service Group Inc,0
Baltimore Gas & Electric Company,Baltimore Gas & Electric Co,1
Toyota Motor Corporation,Toyota Motor Corp,1
GOLDEN EAGLE DISTRIBUTORS INC,Golden Eagle International Inc,0
Lockheed Martin IMS,Lockheed Martin Corp,1
Diversified Scientific Services,Diversified Corp Resources Inc.,0
"Associated Logging Contractors of Idaho, Inc.",Associated Group Inc,0
UNITED SALES ASSOCIATES,United Artists Theatre Circuit Inc,0
United States Department of the Interior,United States Exploration Inc.,0
Zenith Electronics Corporation,Zenith Electronics Corp,1
Colorado Interstate Gas Company,Colorado Interstate Gas Co,1
Environmental Defense,Environmental Power Corp,0
Environmental Technology Council,Environmental Oil Processing Technology Corp,0
WASHINGTON LEGAL FOUNDATION,Washington Real Estate Investment Trust,0
Franklin County Public Works,Franklin Mining Inc,0
Norfolk Southern Corporation,Norfolk Southern Corp,1
South Carolina Department of Public Safety,South Carolina Elec & Gas Co,0
Portland General Electric Company,Portland General Electric Co,1
Organic Conversion Corporation,Organic Resource Management Inc,0
United States Senate,United States Postal Service,0
Washington Maglev Project,Washington Gas Light Co,0
American Shipbuilding,American Group Inc,0
Donnelly Corporation,Donnelly Corp,1
California Trucking Association,California Style Palms Inc,0
Peoples Gas Light and Coke Company,Peoples Gas Light & Coke Co,1
CHICAGO BRIDGE AND IRON CO,Chicago Bridge & Iron Co. NV,1
