query_string,candidate_string,match
Legal Services Corp,Legal Services Corporation,1
Federal Deposit Insurance Commission,Federal Deposit Insurance Corporation,1
Federal Mediation & Conciliation Servi,Federal Mediation and Conciliation Service,1
Health Resources & Svcs Administration,Health Resources and Services Administration,1
Advisory Council/Historic Preservation,Advisory Council on Historic Preservation,1
Federal Mine Safety & Health Review Cmsn,Federal Mine Safety and Health Review Commission,1
Occupational Safety & Health Review Co,Occupational Safety and Health Review Commission,1
Agency for Toxic Substances & Disease,Agency for Toxic Substances and Disease Registry,1
Office of Government Ethics,Office of Government Information Services,0
Federal Motor Carrier Safety Admin,Federal Motor Carrier Safety Administration,1
National Highway Traffic Safety Admin,National Highway Traffic Safety Administration,1
Occupational Safety & Health Admin,Occupational Safety and Health Administration,1
Office of National AIDS Policy,Office of National Drug Control Policy,0
Office of National Aids Policy,Office of National Drug Control Policy,0
Substance Abuse & Mental Hlth Svcs Adm,Substance Abuse and Mental Health Services Administration,1
National Oceanic & Atmospheric Admin,National Oceanic and Atmospheric Administration,1
National Archives & Records Admin,National Archives and Records Administration,1
Defense Business Transformation Agency,Defense Acquisition Regulations System,0
Export-Import Bank of the US,Export-Import Bank,1
Agency for Health Care Policy & Research,Agency for Healthcare Research and Quality,1
Defense Security Assistance Agency,Defense Acquisition Regulations System,0
Government Printing Office,Government Accountability Office,0
Defense Threat Reduction Agency,Defense Base Closure and Realignment Commission,0
Pipeline & Hazardous Materials Safety,Pipeline and Hazardous Materials Safety Administration,1
Defense Commissary Agency,Defense Criminal Investigative Service,0
Bureau of Economic Analysis,Bureau of the Fiscal Service,0
Bureau of Justice Assistance,Bureau of the Fiscal Service,0
Office of Management & Budget,Office of Motor Carrier Safety,0
Office of Science & Technology Policy,Office of Policy Development,0
Financial Management Service,Financial Research Office,0
Defense Field Activities,Defense Intelligence Agency,0
Defense Legal Services Agency,Defense Department,0
Defense Finance & Accounting Service,Defense Nuclear Facilities Safety Board,0
Pension & Welfare Benefits Admin,Pension Benefit Guaranty Corporation,0
Research & Special Programs Administra,Research and Special Programs Administration,1
Federal Management Service,Federal Maritime Commission,0
Bureau of Justice Statistics,Bureau of the Fiscal Service,0
National Security Agency,National Security Agency/Central Security Service,1
Office of US Trade Representative,"Office of the Chief Financial Officer, Agriculture Department",0
Administration on Aging,"Administration Office, Executive Office of the President",0
Office of Special Counsel,"Office of the Chief Financial Officer, Agriculture Department",0
Administration for Children & Families,"Administration Office, Executive Office of the President",0
Office of Director of Natl Intelligence,"Office of the Chief Financial Officer, Agriculture Department",0
US Immigration & Customs Enforcement,U.S. Immigration and Customs Enforcement,1
Bureau of Land Management,Bureau of the Fiscal Service,0
National Aeronautics & Space Admin,National Aeronautics and Space Administration,1
Office of Personnel Management,Office of Government Information Services,0
US House of Representatives,U.S. House of Representatives,1
Office of the Secretary of Defense,Office of Government Information Services,0
Bureau of Export Administration,Bureau of the Fiscal Service,0
Office of Thrift Supervision,"Office of the Chief Financial Officer, Agriculture Department",0
