query_string,candidate_string,match
Cambridge Technology Partners,Cambridge Technology Partner,1
National Grape Cooperative,National Grape Co-operative,1
Cable & Wireless Communications,Cable & Wireless Communication,1
American Equity Investmt Life Holding Co,American Equity Investment Life Holding Co,1
Anheuser-Busch InBev,Anheuser-Busch Companies Inc,1
Enterprise Financial Group,Enterprise Financial Services Corp,
Evergreen Health Cooperative,Evergreen Healthcare Inc,
Maui Land & Pineapple Co,Maui Land & Pineapple Co Inc.,1
Logitech International,"Logitech International SA, Apples",1
International Biometric Industry Assn,International Biofuel & Biochemical,0
Banco Bilbao Vizcaya Argentaria,Banco Bilbao Vizcaya Argentaria Chile,1
United States Medical Supply,United States Metals Index Fund,0
Internet Commerce Coalition,Internet Commerce & Communication,
NorthPoint Communications Group,Northpoint Communications Gp,1
Horizons BetaPro Exchange Traded Funds,Horizons BetaPro COMEX Gold Inverse ETF,1
Physicians for Human Rights,Physicians Formula Holdings Inc,0
Advanced Power Technologies,Advanced Power Technology Inc,1
Electronic Datasystems Corp,Electronic Data Systems Corp,1
Equitable Financial Services,Equitable Financial Corp,1
Mead Johnson Nutritional,Mead Johnson Nutrition Co,1
International Petroleum Investment Co,International Petroleum Corporation,0
Aralez Pharmaceuticals US,Aralez Pharmaceuticals Inc,1
Infineon Technologies,Infineon Technologies AG,1
Penn Virginia Resource Partners,Penn Virginia Resource Partners LP -Old,1
Specialty Products,Specialty Equipment Cos Inc,0
Arch Capital Group (US),Arch Capital Group Ltd,1
First National Bank of Olathe,First National Bankshares of Florida Inc,0
Global Strategies Group,Global Strategy Master LP,0
Liberty Mutual Group,Liberty Mutual Agency Corp,1
Pacific Rim Environmental Resources,Pacific Rim Mining Corp.,0
South Carolina Research Authority,South Carolina Elec & Gas Co,0
Tennessee Valley Floating Homes Alliance,Tennessee Valley Authority,0
United Pan-Europe Communications,United Pan-Europe Communications NV,1
Washington National Cathedral,Washington National Corp,0
Adams Respiratory Therapeutics,Adams Respiratoryrapeutics Inc,1
Commonwealth Energy Services,Commonwealth Energy System,0
Consolidated Communications,Consolidated Container Co LLC,0
American Government Services,American Government Term Trust,0
Republic Airway's Holdings,Republic Airways Holdings Inc,0
Santander Consumer USA,Santander Consumer USA Holdings Inc,1
Community Health Partners of Ohio,Community Health Systems Inc,0
Meridian Medical Technologies,Meridian Medical Technology Inc,1
First American Real Estate Solutions,First American Scientific Corp,0
Artesian Resource Corp,Artesian Resources Corp,1
Comcast Cable Communications Management,Comcast Cable Communications Inc.,1
Clean Diesel Technologies Inc,Clean Diesel Technologies-OLD,
Chicago Bridge & Iron,Chicago Bridge & Iron Co. NV,1
Jones Financial Companies,Jones Financial Cos LLLP,1
North American Alcohols,North American Insurance Leaders Inc,1
California Stem Cell,California Style Palms Inc,0
Independence Technology Inc,Independence Community Bank Corp.,0
North American Development Bank,North American REIT Income Fund,0
North American Ship Recycling Inc,North American Nickel Inc,0
Westmoreland County,Westmoreland Coal Co,0
Imperial Petroleum Recovery Corp,Imperial Pete Recovery Corp,1
Ericsson Inc,Erickson Inc,0
Southern California Regional Rail Auth,Southern California Gas Co,0
Infineon Technologies Americas,Infineon Technologies AG,1
New York Center for Liver Transplantion,New York Community Bancorp Inc.,0
Public Service Co of Colorado,Public Service Co Of Colo,1
Great Atlantic & Pacific Tea Co,Great Atlantic & Pacific Tea Co Inc.,1
New England Fuel Institute,New England Community Bancorp,0
Strategic Hotel Capital,Strategic Hotels & Resorts Inc,0
North American Technician Excellence,North American Technologies Group Inc,0
United Water Resources/SUEZ SA,United Water Resources,1
North American Network/Cities of Asylum,North American Scientific Inc,0
Enterprise Information Management,Enterprise Informatics Inc,0
Fresenius Medical Care North America,Fresenius Medical Care AG &Co KGAA,1
Professional Transportation Inc,Professional Transportation Group Inc,1
Telefonos de Mexico SA de CV,Telefonos De Mexico SA Telmex,1
Alliance for Strong Families & Communities,Alliance Forest Products Inc,0
Acceptance Insurance Companies,Acceptance Insurance Cos Inc,1
Washington National Opera,Washington National Corp,0
Jones Lang LaSalle Americas,Jones Lang LaSalle Inc,1
General Nutrition Corp,General Nutrition Centers Inc,1
First Financial Network,First Financial Service Corp,0
Heartland Technologies,Heartland Technology Inc,1
Independent Physical Therapists of Amer,Independent Nickel Corp,0
Hawaiian Telcom Communications,Hawaiian Telcom Holdco Inc,1
First National Bank In Durant,First National Bankshares of Florida Inc,0
Spanish Broadcasting Systems,Spanish Broadcasting System Inc,1
University General Hospital Systems,University General Health Systems Inc,1
New England Province/Society of Jesus,New England Community Bancorp,0
California Lutheran University,California Coastal Communities Inc,0
Southern California Economic Partnership,Southern California Gas Co,0
Brookfield Properties,Brookfield Property Partners LP,1
Tender Loving Care Health Care Services,Tender Loving Care Health Services,1
Bion Environmental Technologies,Bion Environmental Tech Inc,1
Crescent Point Energy US,Crescent Point Energy Corp,1
Central & South West Services,Central & South West Corp,1
New England Development,New England Electric System,0
Electronic Design Inc,Electronic Designs Inc,1
Community Oncology Alliance,Community Investors Bancorp Inc,0
Consolidated-Tomoka Land Co,Consolidated Tomoka-Land Co.,1
Genesis Health Care,Genesis Healthcare Inc,1
Prestige Financial Center,Prestige Financial Corp,1
Sea Containers America,Sea Containers Ltd.,1
Western New England University,Western New England Bancorp Inc,0
Mitsubishi Electric America,Mitsubishi Electric Corp,1
Northern Indiana Commuter Transp Dist,Northern Indiana Public Service Co,0
Northern Indiana Commuter Transit Dist,Northern Indiana Public Service Co,0
British American Tobacco,British American Tobacco PLC,0
Alliance for Lupus Research,Alliance Forest Products Inc,0
Sun Life Financial US,Sun Life Financial Inc,1
North American Coal Corp,North American Palladium Ltd.,0
Alliance for the Arts,Alliance Forest Products Inc,0
Fiat Chrysler Automobiles,Fiat Chrysler Automobiles NV,1
Health Care Tax Working Group,Health Care Select Sector SPDR Fund,0
Pacific Rim Environmental Resources  ,Pacific Rim Mining Corp.,0
Digital Promise Project,Digital Products Corp,0
International Research & Exchange Board,International Research & Development Corp,0
Wheeling Pittsburgh Steel,Wheeling Pittsburgh Corp,1
Alliance for I-69 Texas,Alliance Forest Products Inc,0
New England Organ Bank,New England Community Bancorp,0
Alliance for Secure America,Alliance Forest Products Inc,0
Haws Corp,Hawk Corp,0
Environmental Research & Ed Found,Environmental Energy Service,0
North American Communications Corp,North American Technologies Group Inc,0
Endurance Specialty Insurance,Endurance Specialty Holdings Inc,1
Intelligent Decisions Inc,Intelligent Communication Enterprise Corp-Old,0
Pacific Capital Bank,Pacific Capital Bancorp,0
Makhteshim Agan of North America,Makhteshim Agan Industries Ltd,1
IAC/Interactive Corp,IAC/InterActiveCorp,1
Southern Energies Inc,Southern Energy Co Inc,0
Environmental Law & Policy Center,Environmental Services of America Inc,0
Advanced Photonics Integrated Circuits,Advanced Photonix Inc.,
North American Die Casting Assn,North American Insurance Leaders Inc,0
Sterling Construction Services,Sterling Construction Co Inc,1
Current Technologies,Current Technology Corp,1
Pennsylvania Power & Light,Pennsylvania Power Co,1
Nippon Telegraph & Telephone,Nippon Telegraph & Telephone Corp Ntt,1
Independent Living Aids,Independent Financial Network Inc,0
North Central Associated Milk Producers,North Central Bancshares Inc,0
Communications Infrastructure Group,Communications Central Inc,0
Integrated Environmental Technologies,Integrated Enviro Technologies Ltd,1
Crown Central Petroleum,Crown Central Petrol,0
Diamond Management & Tech Solutions,Diamond Management & Technology Consultants Inc,1
Puerto Rico Dept of Trans & Pub Works,Puerto Rico Telephone Co,0
Oxford Glycosciences UK,Oxford Glycosciences,1
North American Meat Assn,North American Palladium Ltd.,0
Southern California Water Co,Southern California Gas Co,0
Global Technology Systems,Global Technologies Ltd,0
Southern Star Central Gas Pipeline,Southern Star Central Corp,1
Independent Insurance Agents of America,Independent Insurance Group Inc,0
Century Financial Group,Century Financial Corp,1
Schein Pharmaceuticals,Schein Pharmaceutical Inc,1
Environmental Pasteurization LLC,Environmental Waste International Inc,0
Northern Indiana Commuter Trans District,Northern Indiana Public Service Co,0
Philadelphia Holocaust Remembrance Fdtn,Philadelphia Consolidated Holding Corp,0
Metro International Trade Services,"Metro International SA, Luxembourg",0
Alliance of Catholic Health Care Systems,Alliance Holdings GP LP,0
Royal Bank of Scotland,Royal Bank of Scotland Group PLC,1
Applied Systems Inc,Applied Science Products Inc,0
General Nutrition Center,General Nutrition Centers Inc,1
Great Lakes Carbon Fiber,Great Lakes Carbon Corp,0
Varian Semiconductor Equipment Assoc,Varian Semiconductor Equipment Associates Inc,1
Memex Inc,Medex Inc,0
Metropolitan Communications,Metropolitan Life Insurance Co,0
High Performance Wheels,High Performance Beverages Co,0
Entertainment Industry Development Corp,Entertainment One Income Fund,0
Environmental Communications,Environmental Technologies USA Inc,0
Information Management Resources Inc,Information Management Technology,0
Wave Technologies,Wave Technologies International Inc,1
American Rivers Inc,American Rivers Oil Co,0
AXA Equitable Life Insurance,AXA Equitable Holdings Inc,1
Metropolitan Washington Airports Auth,Metropolitan Bank Holding Corp,0
Macquarie Infrastructure & Real Assets,Macquarie Infrastructure Corp,1
Johnson Controls International,Johnson Controls International Plc,1
Metropolitan Community College,Metropolitan Mortgage & Securities Co Inc,0
First Trust Portfolios,First Trust Morningstar Dividend Leaders,
General Electric Healthcare,General Electric Capital Svc,1
Environmental Technology Council,Environmental Technologies USA Inc,0
San Francisco Unified School District,San Francisco Co,0
Virginia Commonwealth University,Virginia Commonwealth Financial,0
Professional Beauty Federation,Professional Sports Care Management,0
Cantel Medical Group,Cantel Medical Corp.,1
Environmental Technology Unlimited,Environmental Technologies USA Inc,0
Pershing Government Account,Pershing Gold Corp,0
