query_string,candidate_string,match
California Department of Social Services,CALIFORNIA CENTER FOR SUSTAINABLE ENERGY,0
University of Oklahoma College of Law,UNIVERSITY OF CHICAGO COLLEGIATE SCHOLARSHIP PROGRAM,0
Education Center,EDUCATION TOGETHER FOUNDATION,0
George Washington University Law School,GEORGE WASHINGTON UNIVERSITY - LAW SCHOOL,1
San Francisco Housing Authority,SAN FRANCISCO CLEAN CITY COALITION,0
Community Development Bankers Association,COMMUNITY ECONOMIC DEVELOPMENT,0
BSA,BSR,0
California Teachers Association,CALIFORNIA ARTS PROJECT,0
Texas Poultry Federation,TEXAS PUBLIC EDUCATION REFORM,0
Association of Electric Cooperatives,ASSOCIATION OF CHINESE AMERICAN,0
Regions Financial Corporation,REGIONAL VIOLENCE INITIATIVE,0
Department of Agriculture,DEPARTMENT OF ECONOMICS BOSTON COLLEGE,0
Association for Research in Vision and Ophthalmology,ASSOCIATION OF CAPITOL REPORTERS AND EDITORS -CAPITOLBEAT-,0
Independent Pilots Association,INDEPENDENT TELEPHONE PIONEER,0
Texas Legal Services Center,TEXAS LEGISLATIVE BLACK CAUCUS,0
Foundation for Resilient Societies,FOUNDATION FOR ENTERPRISE DEVELOPMENT,0
California Immigrant Policy Center,CALIFORNIA PARENTING INSTITUTE,0
National Association of Water Companies,NATIONAL ASSOCIATION OF STREET SCHOOLS,0
California Department of Boating and Waterways,CALIFORNIA CENTER FOR THE ARTS - ESCONDIDO FOUNDATION,0
Coalition for Workplace Safety,COALITION FOR ECONOMIC DEVELOPMENT CORPORATION,0
American Society of Breast Surgeons,AMERICAN SOCIETY FOR PARENTERAL AND ENTERAL NUTRITION,0
New York State Psychiatric Association,NEW YORK STATE NYS STATE CAPITOL,0
Center for Elder Care and Advanced Illness,CENTER FOR WOMEN,0
Southern Tier Independence Center,SOUTHERN NEWSPAPER PUBLISHERS ASSOCIATION,0
Center For Food Safety,CENTER FOR FAMILIES,0
Christopher Galton LPC,CHRISTUS HEALTH ARK-LA-TEX,0
Community Development Commission of the County of Los Angeles,COMMUNITY FOUNDATION OF ANNE ARUNDEL COUNTY,0
Douglas County Government,DOUGLAS COUNTY SHERIFF'S ADVISORY COUNCIL,0
"New York Independent System Operator, Inc.",NEW YORK UNIVERSITY WAGNER SCHOOL,0
West Virginia Hospital Association,WEST VIRGINIA CELEBRATION 2000,0
Florida State Clearinghouse,FLORIDA RESTAURANT EDUCATION FOUNDATION,0
SAG,SAE,0
California Bus Association,CALIFORNIA ACADEMIC DECATHLON,0
National Association of ACOs,NATIONAL ASSOCIATION OF COMMUNITY HEALTH,0
"Association of Electric Companies of Texas, Inc.",ASSOCIATION FOR CHILDREN WITH HEARING IMPAIRMENT,0
Massachusetts Bankers Association,MASSACHUSETTS PROSTATE CANCER COALITION,0
Texas Comptroller of Public Accounts,TEXAS SCOTTISH RITE FOUNDATION FOR CRIPPLED CHILDREN,0
Pennsylvania Forest Products Association,PENNSYLVANIA HOME OF THE SPARROW,0
Western Pacific Fishery Management Council,WESTERN NEW YORK MARITIME CHARTED SCHOOL,0
Maryland Grain Producers Association,MARYLAND COALITION FOR FINANCIAL LITERACY,0
MARATHON OIL CO,MARATHON KIDS,0
"Community Legal Aid Services, Inc.",COMMUNITY NETWORK FOR YOUTH,0
New Jersey Turnpike Authority,NEW JERSEY ALLIANCE FOR ACTION,0
Department of the Air Force,DEPARTMENT OF PUBLIC SAFETY,0
Coalition for Clean Air Implementation,COALITION FOR TRIANGLE SCIENCE AND TECHNOLOGY EDUCATION,0
Southern Towing Company,SOUTHERN NASH MIDDLE SCHOOL,0
Center for Public Environmental Oversight,CENTER FOR LATINO INITIATIVES,0
Virginia Employment Commission,VIRGINIA MARINE SCIENCE MUSEUM FOUNDATION,0
California Labor Federation,CALIFORNIA STATE DOMINGUEZ HILLS,0
Massachusetts Department of Elementary and Secondary Education,MASSACHUSETTS GENERAL HOSPITAL - J. BURKE BURN AND TRAUMA FELLOWSHIP,0
University of Phoenix,UNIVERSITY OF CALIFORNIA DAVIS FOUNDATION,0
Puerto Rico Bankers Association,PUERTO RICO MUSEUM OF ART - BANCO POPULAR CENTER,0
National Association of State Workforce Agencies,NATIONAL ASSOCIATION OF AREA AGENCIES ON AGING,0
ANSAC,ALSAC,0
Association of State Wetland Managers,ASSOCIATION FOR THE COMMUNITY PARENT CENTER,0
California Department of Water Resources,CALIFORNIA INSTITUTE OF THE ARTS GENERAL OPERATIONS,0
Orthotic and Prosthetic Alliance,ORTHOTIC AND PROSTHETIC ACTIVITIES FOUNDATION,0
Massachusetts Nutrition Board,MASSACHUSETTS HOSPITAL SCHOOL,0
Texas Commission Environmental Quality,TEXAS MEDICAL ASSOCIATION SPECIAL FUNDS FOUNDATION,0
US Department of the Interior - OEPC,US DEPARTMENT OF AGRICULTURE - SOIL CONS,0
Multiple Signatures,MULTICULTURAL COMMUNITY CENTER,0
"Pioneer Hi-Bred International, Inc.",PIONEER COURTHOUSE SQUARE OF PORTLAND,0
Urban Air Initiative,URBAN ALLIANCE - BALTIMORE,0
California Trucking Association,CALIFORNIA CRICKET ACADEMY,0
